Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Precious Achiuwa\achiupr01,C,22,TOR,44,1047,11.9,0.462,0.163,0.211,10,23.3,16.3,7,1.1,2.5,10.8,16.7,,0.1,1.2,1.3,0.059,,-2.5,-0.7,-3.2,-0.3
2,Steven Adams\adamsst01,C,28,MEM,52,1354,17,0.555,0,0.53,17.3,21.1,19.2,15.2,1.7,2.2,21.2,12.1,,2.4,1.8,4.2,0.147,,0.8,0.5,1.3,1.1
3,Bam Adebayo\adebaba01,C,24,MIA,30,985,20.2,0.578,0.008,0.455,9.2,24.9,17.1,17.8,2.4,2.1,15.8,25.4,,1.5,1.8,3.3,0.161,,0.9,2,2.9,1.2
4,Santi Aldama\aldamsa01,PF,21,MEM,27,277,8.6,0.425,0.402,0.206,8.6,15.9,12.2,6.7,0.3,2.3,7.8,17.2,,-0.1,0.2,0.1,0.025,,-4.6,-2.1,-6.7,-0.3
5,LaMarcus Aldridge\aldrila01,C,36,BRK,36,825,20.2,0.601,0.102,0.182,7.2,18.8,13.2,6.2,0.8,4.2,7.4,22.8,,1.6,0.8,2.4,0.142,,1.5,-0.7,0.7,0.6
6,Nickeil Alexander-Walker\alexani01,SG,23,NOP,50,1317,10.8,0.474,0.483,0.153,2.9,10.9,6.8,17,1.5,1.4,11.2,24.9,,-1,0.8,-0.2,-0.007,,-1.5,-1.6,-3.1,-0.4
7,Grayson Allen\allengr01,SG,26,MIL,46,1298,13.2,0.584,0.68,0.128,2.1,10.7,6.5,7.6,1.4,1.1,5.7,16.2,,2,1.2,3.1,0.115,,0.7,-0.2,0.4,0.8
8,Jarrett Allen\allenja01,C,23,CLE,47,1531,23.2,0.686,0.022,0.439,12.4,24.2,18.5,8.9,1.2,3.7,13,18.3,,4.7,3,7.7,0.241,,2.7,1.4,4.1,2.4
9,Jose Alvarado\alvarjo01,PG,23,NOP,27,335,15.9,0.503,0.412,0.176,2.9,9.1,5.9,24.7,4.4,0.9,7.2,17.8,,0.4,0.4,0.9,0.125,,-1.1,3,1.8,0.3
10,Justin Anderson\anderju01,SF,28,TOT,6,77,8.4,0.476,0.789,0.368,2.8,11,7.1,15.6,1.3,1.1,12,14.2,,0,0.1,0.1,0.065,,-3.9,-0.4,-4.3,0
10,Justin Anderson\anderju01,SF,28,CLE,3,47,10.9,0.666,0.75,0.5,0,13.3,6.9,17.3,1.1,0,17,11,,0.1,0.1,0.1,0.141,,-2.9,0.3,-2.6,0
10,Justin Anderson\anderju01,SF,28,IND,3,30,4.6,0.325,0.818,0.273,7.3,7.4,7.4,13,1.6,2.9,7.5,19.2,,-0.1,0,0,-0.053,,-5.5,-1.6,-7,0
11,Kyle Anderson\anderky01,PF,28,MEM,43,955,14.4,0.497,0.244,0.225,4.4,20.9,12.5,15.7,2.5,2.5,11.2,16.7,,0.6,1.5,2.1,0.106,,-0.8,1.5,0.7,0.6
12,Giannis Antetokounmpo\antetgi01,PF,27,MIL,46,1499,32.1,0.627,0.21,0.599,6.2,29.7,18.2,33.8,1.5,4.3,12.5,35.1,,6.4,2.7,9.1,0.293,,7.6,3.6,11.2,5
13,Thanasis Antetokounmpo\antetth01,SF,29,MIL,33,347,9.2,0.492,0.133,0.289,9.3,13.9,11.7,7.4,1.8,2.3,16.9,13.9,,0,0.4,0.4,0.062,,-5.2,0.6,-4.6,-0.2
14,Carmelo Anthony\anthoca01,PF,37,LAL,50,1327,15.1,0.583,0.565,0.227,3.3,13.2,8.3,5.8,1.3,2.8,7.1,20.1,,1.8,1.2,3,0.11,,0.7,-0.6,0,0.7
15,Cole Anthony\anthoco01,PG,21,ORL,42,1396,14.8,0.516,0.429,0.27,2.1,16.8,9.4,30.4,1.3,0.8,13.9,26.2,,0.3,1,1.3,0.046,,0.1,-0.8,-0.6,0.5
16,OG Anunoby\anunoog01,SF,24,TOR,38,1413,15.6,0.549,0.449,0.178,4.5,12.7,8.4,11.1,2.2,1.6,9.8,21.4,,1.7,1.4,3.1,0.107,,0.8,0.1,0.9,1
17,Trevor Ariza\arizatr01,SF,36,LAL,18,350,8.2,0.518,0.826,0.145,1.5,16.5,9.1,8.5,1.4,1,9.8,10,,0.1,0.3,0.4,0.061,,-2.4,0.2,-2.2,0
18,D.J. Augustin\augusdj01,PG,34,HOU,34,510,10,0.596,0.706,0.279,1.5,7.4,4.4,20.9,0.9,0,22.8,16.4,,0.3,-0.1,0.2,0.019,,-1.2,-3.1,-4.3,-0.3
19,Deni Avdija\avdijde01,SF,21,WAS,53,1206,11.7,0.544,0.447,0.233,3.1,19.7,11.6,10.1,1.6,2.1,11.5,14.8,,0.6,1.3,1.9,0.075,,-2,1,-1,0.3
20,Joel Ayayi\ayayijo01,SG,21,WAS,7,20,3.6,0.167,0.167,0,5.5,10.6,8.1,25.9,0,0,0,13.3,,0,0,0,-0.094,,-4.1,-1.8,-5.9,0
21,Deandre Ayton\aytonde01,C,23,PHO,33,967,22.1,0.656,0.022,0.25,10.2,26.9,18.8,7.9,1.4,2.3,12.2,20.5,,2.4,1.8,4.2,0.21,,2.4,1.1,3.6,1.4
22,Udoka Azubuike\azubuud01,C,22,UTA,13,149,14.2,0.659,0,0.265,9.9,27.4,19,0,0.3,5.8,20.9,14,,0.1,0.2,0.3,0.109,,-3.3,0.3,-3,0
23,Marvin Bagley III\baglema01,PF,22,SAC,30,656,14.6,0.521,0.252,0.191,10.9,24.4,17.6,3.9,0.7,1.4,7.3,18.7,,0.6,0.4,1,0.073,,-0.8,-2.6,-3.4,-0.3
24,LaMelo Ball\ballla01,PG,20,CHO,49,1589,19.8,0.54,0.424,0.208,5.1,18.3,11.5,35.4,2.3,1.2,14.6,28,,2.3,1.5,3.7,0.113,,3.1,0.2,3.3,2.1
25,Lonzo Ball\balllo01,PG,24,CHI,35,1212,14.7,0.575,0.679,0.073,3.2,14.1,8.7,20,2.6,2.2,17.2,17.3,,1,1.4,2.4,0.095,,1.2,1.4,2.6,1.4
26,Mo Bamba\bambamo01,C,23,ORL,45,1180,16.1,0.563,0.436,0.126,8.6,24,16.3,8,1.2,6.7,12.4,16.9,,0.9,1.7,2.6,0.105,,-0.7,1.1,0.4,0.7
27,Desmond Bane\banede01,SF,23,MEM,52,1564,16.8,0.578,0.477,0.116,2,13.8,7.8,12.3,1.8,1.4,8.9,22.9,,2.7,1.7,4.3,0.133,,2,-0.2,1.8,1.5
28,Dalano Banton\bantoda01,SF,22,TOR,43,505,9.5,0.462,0.255,0.188,5.5,15.1,10.1,19.5,2.1,1.5,21.8,17.5,,-0.4,0.5,0.1,0.012,,-3.7,0.2,-3.6,-0.2
29,Cat Barber\barbeca01,PG,27,ATL,3,13,-11.2,0,0,1,8.5,16.6,12.6,27,0,0,14.8,22.8,,-0.1,0,-0.1,-0.456,,-15.8,-7.7,-23.5,-0.1
30,Harrison Barnes\barneha02,PF,29,SAC,52,1755,16.8,0.623,0.439,0.498,3.5,16.2,9.8,10.9,1,0.4,10.3,19.4,,4,0.6,4.6,0.125,,2.3,-1.4,0.9,1.3
31,Scottie Barnes\barnesc01,PF,20,TOR,45,1620,15.3,0.543,0.217,0.252,7.3,16.2,11.5,14.1,1.3,2.2,12.4,18.5,,2.1,1.5,3.6,0.108,,0,0,0,0.8
32,RJ Barrett\barrerj01,SF,21,NYK,48,1587,13.4,0.513,0.365,0.3,2.7,15.8,9.2,13.5,0.8,0.9,10.1,26,,0.2,1.3,1.5,0.046,,-0.2,-1.3,-1.6,0.2
33,Will Barton\bartowi01,SG,31,DEN,47,1533,14.8,0.551,0.467,0.129,2.4,14.4,8.5,19,1.3,1.5,11.7,21.7,,1.2,1.4,2.6,0.081,,1.2,-0.6,0.6,1
34,Paris Bass\basspa01,SF,26,PHO,2,7,14.5,0.436,0.333,0.333,31.1,29.6,30.3,0,6.9,0,22.5,54.7,,0,0,0,-0.153,,-11,-1.4,-12.4,0
35,Charles Bassey\bassech01,PF,21,PHI,22,161,21.4,0.669,0.093,0.256,14,27.1,20.7,6.7,1.2,9.4,14.3,15.7,,0.4,0.3,0.7,0.221,,-0.5,2.4,1.8,0.2
36,Keita Bates-Diop\bateske01,SF,26,SAS,42,701,11.9,0.561,0.228,0.228,6.8,18.7,12.7,4.7,1.3,1.5,12.5,14,,0.4,0.7,1.1,0.077,,-2.2,-0.6,-2.8,-0.1
37,Nicolas Batum\batumni01,PF,33,LAC,35,871,14.3,0.635,0.724,0.103,2,16.3,9.3,9.2,2,2.5,10,13.5,,1.2,1.2,2.4,0.131,,0.6,1.9,2.6,1
38,Kent Bazemore\bazemke01,SF,32,LAL,31,455,6.8,0.451,0.546,0.143,2.1,10.4,6.3,8.4,2.1,1.2,7.3,12.9,,-0.1,0.4,0.3,0.033,,-4.6,0.9,-3.7,-0.2
39,Darius Bazley\bazleda01,PF,21,OKC,49,1309,11.9,0.493,0.403,0.262,4.3,20.5,12.2,6.9,1.5,4,12.4,17.9,,-0.7,1.9,1.1,0.041,,-2.6,0.7,-2,0
40,Bradley Beal\bealbr01,SG,28,WAS,40,1439,18.1,0.539,0.272,0.263,2.9,11.1,7.1,31.8,1.2,0.9,13.6,30.7,,1.1,0.8,1.9,0.062,,2.2,-1.3,0.9,1
41,Malik Beasley\beaslma01,SG,25,MIN,55,1421,11.1,0.517,0.714,0.063,1.5,11.3,6.2,8.5,1,0.6,5.3,20.3,,0.8,0.8,1.5,0.052,,0.1,-1.7,-1.7,0.1
42,Jordan Bell\belljo01,C,27,CHI,1,2,30,,,,56,0,27.8,0,24.4,0,,0,,0,0,0,0.612,,-7.7,10.6,3,0
43,DeAndre' Bembry\bembrde01,SF,27,BRK,48,949,12.6,0.609,0.169,0.164,4.4,12.6,8.6,8.6,2.4,2.3,11.6,11.8,,1.1,1,2.1,0.108,,-1.9,1.3,-0.6,0.3
44,Dāvis Bertāns\bertada01,PF,29,WAS,34,501,8.6,0.527,0.842,0.175,1.3,11.7,6.6,4.5,1.1,1,7.1,17.6,,0.1,0.3,0.4,0.035,,-2.4,-1.3,-3.7,-0.2
45,Patrick Beverley\beverpa01,PG,33,MIN,36,931,15.3,0.523,0.522,0.246,4.4,14.3,9.2,26.5,2.1,3.4,11.6,15.5,,1.7,1.1,2.7,0.142,,0.9,2.2,3.1,1.2
46,Saddiq Bey\beysa01,SF,22,DET,54,1807,13,0.509,0.526,0.207,4.1,15.1,9.2,13.4,1.3,0.6,7.8,21.2,,0.9,1,1.8,0.049,,0.2,-1.4,-1.1,0.4
47,Khem Birch\birchkh01,C,29,TOR,27,508,14.5,0.538,0.075,0.415,13,13.7,13.3,8.1,1.9,2.3,11.9,12,,0.9,0.5,1.4,0.13,,-0.8,0.3,-0.5,0.2
48,Goga Bitadze\bitadgo01,C,22,IND,32,359,14.4,0.506,0.344,0.351,13.4,14.6,14,7.9,1.6,5.1,14.2,21.2,,0.1,0.4,0.4,0.06,,-3.2,-0.9,-4.1,-0.2
49,Bismack Biyombo\biyombi01,C,29,PHO,15,290,21.6,0.611,0,0.528,16.5,21.4,19,6.9,1.5,4.3,9.9,18.1,,0.8,0.6,1.4,0.225,,1,0.2,1.2,0.2
50,Nemanja Bjelica\bjeline01,C,33,GSW,49,755,14.7,0.558,0.461,0.244,6.3,21.8,14.3,17.5,2,2.2,16.8,19.5,,0.5,1.5,2.1,0.132,,-0.9,2.2,1.3,0.6
51,Eric Bledsoe\bledser01,PG,32,LAC,54,1361,12.8,0.514,0.348,0.25,2.2,11.6,7,24.6,2.5,1.2,18.3,20.4,,-0.3,1.7,1.4,0.05,,-1.9,1,-0.9,0.4
52,Keljin Blevins\blevike01,SF,26,POR,12,73,4,0.503,0.609,0.087,2.9,9.2,6,8,0,0,20.1,17.9,,-0.1,0,-0.1,-0.084,,-4.8,-5.2,-10,-0.1
53,Bogdan Bogdanović\bogdabo01,SG,29,ATL,36,1027,12.9,0.544,0.595,0.115,1.2,13,7.2,14.7,1.4,0.6,8.4,19.2,,1,0.4,1.4,0.065,,0.2,-0.5,-0.3,0.4
54,Bojan Bogdanović\bogdabo02,PF,32,UTA,53,1641,16,0.599,0.477,0.284,3,11.9,7.7,8.6,0.7,0.1,9.8,23.4,,3.2,1.1,4.3,0.125,,1.8,-1.6,0.2,0.9
55,Bol Bol\bolbo01,PF,22,DEN,14,81,13.9,0.565,0.148,0.185,5.6,21.6,13.8,9.3,0.6,2.3,12,18.2,,0,0.1,0.1,0.071,,-0.3,-0.5,-0.8,0
56,Leandro Bolmaro\bolmale01,SF,21,MIN,25,188,3.7,0.389,0.375,0.281,8.2,11.7,9.9,7.3,1.3,0,25,10.6,,-0.2,0.1,-0.1,-0.018,,-6,-0.7,-6.7,-0.2
57,Isaac Bonga\bongais01,SF,22,TOR,13,66,7.6,0.352,0.308,0.462,6.3,5.2,5.8,5.8,5.3,3,11.3,11.5,,-0.1,0.1,0.1,0.039,,-5.8,3.8,-1.9,0
58,Devin Booker\bookede01,SG,25,PHO,47,1598,20.2,0.558,0.343,0.244,2.5,13.8,8.3,20.6,1.4,0.8,9.4,32.2,,2.5,2.1,4.7,0.14,,3.2,-0.3,3,2
59,Brandon Boston Jr.\bostobr01,SG,20,LAC,39,605,9.9,0.462,0.352,0.215,2.3,13.3,8,8.5,1.6,1.4,8.5,22.1,,-0.6,0.7,0.1,0.004,,-3.5,-0.7,-4.3,-0.3
