Player,Salary
Enes Freedom\kanteen01POR,2641691
Kendrick Nunn\nunnke01MIA,5000000
Josh Green\greenjo02DAL,2957520
Tyrese Maxey\maxeyty01PHI,2602920
Marcus Morris\morrima03LAC,15627907
Tyus Jones\jonesty01MEM,7522200
PJ Dozier\doziepj01DEN,1910860
Ty Jerome\jeromty01OKC,2412840
Trevor Ariza\arizatr01MIA,2641691
Naz Reid\reidna01MIN,1782621
Armoni Brooks\brookar01HOU,1489065
Eric Paschall\pascher01GSW,1782621
Rajon Rondo\rondora01ATL,2641691
Josh Hart\hartjo01NOP,12000000
Gary Trent Jr.\trentga02POR,16000000
Desmond Bane\banede01MEM,2033160
Bojan Bogdanović\bogdabo02UTA,18700000
Jamal Murray\murraja01DEN,31590000
Ivica Zubac\zubaciv01LAC,7518518
Malcolm Brogdon\brogdma01IND,21700000
Danny Green\greenda02PHI,10000000
Jordan Clarkson\clarkjo01UTA,12420000
Gary Payton II\paytoga02GSW,1939350
T.J. McConnell\mccontj01IND,7500000
Dylan Windler\windldy01CLE,2239200
James Johnson\johnsja01DAL,2641691
Alfonzo McKinnie\mckinal01LAL,1090007
Gary Harris\harriga01ORL,20482143
Evan Fournier\fournev01BOS,18139535
Kyle Lowry\lowryky01TOR,26984128
Harrison Barnes\barneha02SAC,20284091
Jake Layman\laymaja01MIN,3940184
DeAndre' Bembry\bembrde01TOR,1939350
Brandon Ingram\ingrabr01NOP,29467800
Khem Birch\birchkh01ORL,6350000
Khris Middleton\middlkh01MIL,35500000
Cody Martin\martico01CHO,1782621
Giannis Antetokounmpo\antetgi01MIL,39344970
Raul Neto\netora01WAS,2089448
Lonnie Walker IV\walkelo01SAS,4447896
Justin Holiday\holidju01IND,6006420
Kenrich Williams\willike04OKC,2000000
Sterling Brown\brownst02HOU,3000000
Kenyon Martin Jr.\martike04HOU,1517981
Max Strus\strusma01MIA,1669178
Kelly Olynyk\olynyke01HOU,12195122
Aaron Gordon\gordoaa01DEN,16409091
Théo Maledon\maledth01OKC,2000000
Goga Bitadze\bitadgo01IND,3098400
Wesley Matthews\matthwe02LAL,1958501
Kevon Looney\looneke01GSW,5178572
Solomon Hill\hillso01ATL,2389641
Terence Davis\daviste02TOR,4000000
Bruno Fernando\fernabr01ATL,1782621
Collin Sexton\sextoco01CLE,6349671
Chris Paul\paulch01PHO,30800000
Kevin Huerter\huertke01ATL,4253357
Taj Gibson\gibsota01NYK,4910000
Kyrie Irving\irvinky01BRK,34916200
Lauri Markkanen\markkla01CHI,15690909
Khem Birch\birchkh01TOR,6350000
Garrison Mathews\mathega01WAS,1093598
Darius Bazley\bazleda01OKC,2513040
Bol Bol\bolbo01DEN,2161152
Tomáš Satoranský\satorto01CHI,10000000
Jakob Poeltl\poeltja01SAS,8750000
CJ Elleby\ellebcj01POR,1517981
Kelly Oubre Jr.\oubreke01GSW,12000000
Nikola Jokić\jokicni01DEN,30510423
Dillon Brooks\brookdi01MEM,12200000
Trey Burke\burketr01DAL,3333333
James Wiseman\wisemja01GSW,9166800
Ben Simmons\simmobe01PHI,31590000
Drew Eubanks\eubandr01SAS,1762796
Luka Dončić\doncilu01DAL,10174391
Jaylen Nowell\nowelja01MIN,1782621
Gary Clark\clarkga01ORL,377645
Blake Griffin\griffbl01BRK,32405817
Serge Ibaka\ibakase01LAC,9742000
Tim Hardaway Jr.\hardati02DAL,21306816
Avery Bradley\bradlav01MIA,2641691
Justise Winslow\winslju01MEM,3902439
Javonte Green\greenja02BOS,1669178
Talen Horton-Tucker\hortota01LAL,9500000
T.J. Warren\warretj01IND,12690000
Domantas Sabonis\sabondo01IND,18562500
Keita Bates-Diop\bateske01SAS,1729217
Jonas Valančiūnas\valanjo01MEM,14000000
Darius Garland\garlada01CLE,7040880
Kristaps Porziņģis\porzikr01DAL,31650600
Rajon Rondo\rondora01LAC,2641691
R.J. Hampton\hamptrj01DEN,2303040
Gorgui Dieng\dienggo01MEM,4000000
De'Anthony Melton\meltode01MEM,8437500
Udonis Haslem\hasleud01MIA,2641691
P.J. Washington\washipj01CHO,4215120
Christian Wood\woodch01HOU,13666667
Isaiah Hartenstein\harteis01DEN,3430810
Jordan McLaughlin\mclaujo01MIN,1669178
Michael Porter Jr.\portemi01DEN,5258735
Anfernee Simons\simonan01POR,3938818
Ricky Rubio\rubiori01MIN,17809524
Isaac Okoro\okorois01CLE,6720720
Justin Jackson\jacksju01OKC,102831
Alex Len\lenal01TOR,3731707
Bruce Brown\brownbr01BRK,4736102
Paul Millsap\millspa01DEN,2641691
Jarrett Culver\culveja01MIN,6395160
Spencer Dinwiddie\dinwisp01BRK,17142857
Aleksej Pokusevski\pokusal01OKC,3113160
Josh Jackson\jacksjo02DET,5005350
Gorgui Dieng\dienggo01SAS,4000000
Patrick Beverley\beverpa01LAC,14320988
Didi Louzada\louzama01NOP,1786878
Caris LeVert\leverca01IND,17500000
Jrue Holiday\holidjr01MIL,30133333
Bismack Biyombo\biyombi01CHO,1366392
Nikola Vučević\vucevni01ORL,24000000
Kawhi Leonard\leonaka01LAC,39344900
Alex Caruso\carusal01LAL,8604651
Delon Wright\wrighde01SAC,8526316
Mike Muscala\muscami01OKC,3500000
Svi Mykhailiuk\mykhasv01OKC,1729217
Jae'Sean Tate\tateja01HOU,1517981
Myles Turner\turnemy01IND,18000000
Yuta Watanabe\watanyu01TOR,1762769
Landry Shamet\shamela01BRK,3768342
Damion Lee\leeda03GSW,1910860
Killian Hayes\hayeski01DET,5572680
Brandon Clarke\clarkbr01MEM,2726880
Thaddeus Young\youngth01CHI,14190000
